State,District,Market,Commodity,Variety,Grade,Min_Price,Max_Price,Frequent_price,temperature,humidity,pressure,weather,wind_speed,Price_Range,Average_Price,Price_Variability,Weather_Condition
Andhra Pradesh,Guntur,Duggirala,Turmeric,Finger,FAQ,103,124,118,31,80,1009,overcast clouds,1.94,21,113.5,0.0396,Unfavorable
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,84,86,85,31,80,1009,overcast clouds,1.94,2,85.0,0.0,Unfavorable
Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,30,45,38,31,80,1009,overcast clouds,1.94,15,37.5,0.0133,Unfavorable
Andhra Pradesh,Guntur,Duggirala,Turmeric,Bulb,FAQ,103,124,118,31,80,1009,overcast clouds,1.94,21,113.5,0.0396,Unfavorable
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,31,33,32,30,84,1009,light rain,1.03,2,32.0,0.0,Unfavorable
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,47,53,50,30,84,1009,light rain,1.03,6,50.0,0.0,Unfavorable
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,35,44,40,30,84,1009,light rain,1.03,9,39.5,0.0127,Unfavorable
Assam,Barpeta,Barpeta Road,Bottle gourd,Bottle Gourd,Local,12,13,13,30,57,1009,clear sky,1.8,1,12.5,0.04,Favorable
Assam,Barpeta,Barpeta Road,Green Chilli,Green Chilly,Local,60,70,68,30,57,1009,clear sky,1.8,10,65.0,0.0462,Favorable
Assam,Barpeta,Barpeta Road,Lemon,Lemon,Local,10,11,10,30,57,1009,clear sky,1.8,1,10.5,-0.0476,Favorable
Assam,Barpeta,Barpeta Road,Capsicum,Capsicum,Local,17,18,18,30,57,1009,clear sky,1.8,1,17.5,0.0286,Favorable
Assam,Barpeta,Barpeta Road,Ginger(Green),Green Ginger,Local,50,90,60,30,57,1009,clear sky,1.8,40,70.0,-0.1429,Favorable
Assam,Barpeta,Barpeta Road,Tomato,Tomato,Local,38,42,40,30,57,1009,clear sky,1.8,4,40.0,0.0,Favorable
Assam,Barpeta,Barpeta Road,Cabbage,Cabbage,Local,18,20,20,30,57,1009,clear sky,1.8,2,19.0,0.0526,Favorable
Assam,Barpeta,Barpeta Road,French Beans (Frasbean),French Beans (Frasbean),Local,38,40,38,30,57,1009,clear sky,1.8,2,39.0,-0.0256,Favorable
Assam,Barpeta,Barpeta Road,Bhindi(Ladies Finger),Bhindi,Local,25,27,26,30,57,1009,clear sky,1.8,2,26.0,0.0,Favorable
Assam,Barpeta,Barpeta Road,Pumpkin,Pumpkin,Local,12,14,14,30,57,1009,clear sky,1.8,2,13.0,0.0769,Favorable
